"","00:00:00","00:30:00","01:00:00","01:30:00","02:00:00","02:30:00","03:00:00","03:30:00","04:00:00","04:30:00","05:00:00","05:30:00","06:00:00","06:30:00","07:00:00","07:30:00","08:00:00","08:30:00","09:00:00","09:30:00","10:00:00","10:30:00","11:00:00","11:30:00","12:00:00","12:30:00","13:00:00","13:30:00","14:00:00","14:30:00","15:00:00","15:30:00","16:00:00","16:30:00","17:00:00","17:30:00","18:00:00","18:30:00","19:00:00","19:30:00","20:00:00","20:30:00","21:00:00","21:30:00","22:00:00","22:30:00","23:00:00","23:30:00","dates"
"1",233.062313908913,222.634869650118,213.2454506919,204.354153000934,195.431691857006,186.55730430492,178.845409164078,175.800853976627,178.554655123077,179.768514140512,181.713206037462,191.708627430462,210.763302649421,230.75484062682,244.090214938354,252.997547060509,263.732563528814,277.244398462074,288.642885358982,292.770198030051,288.515007317518,278.410382472599,266.778402584831,257.224059083993,250.845219575736,245.040070691987,237.714074115667,231.263071141154,229.582450677571,231.017083293501,232.037364725835,234.014217997023,238.866753211283,244.600053753903,247.39767635956,246.863254334444,246.476204642798,246.666726433067,243.593532083515,236.965310514987,231.202590031576,225.053193288511,212.694737840698,198.247930757724,183.079795821027,167.59536408322,152.181395027122,136.879526233365,"2020-04-16"
"2",133.178064258551,133.690813479983,134.329301767887,135.450002790012,136.857177698092,138.067344837653,138.575459169901,137.522768034419,137.882431405382,142.478511776317,149.215804480092,154.03182632495,158.407169744918,167.851153843409,180.942448856674,191.097219615441,200.42124428166,216.000343350291,235.756560379075,252.868347189076,265.126773005956,271.058471659628,273.801633462498,273.793819534086,268.616510218324,259.646140644294,250.23589807299,238.632351804933,228.314783093407,226.136257261783,228.000737950521,229.089113863413,232.567832493892,236.577656384525,238.632233474999,241.190985802172,239.959520882313,231.573275971862,221.921281963362,216.126733721254,210.167975377908,201.122528340595,190.790342837817,182.605849820035,175.296556367877,168.441177301124,161.569985567957,154.502407355226,"2020-04-17"
"3",113.33424394555,114.692507286423,115.897629063543,116.862270700217,117.902965962874,119.511790132904,121.972414701506,125.806550639381,131.738267125166,136.125689725321,141.443380789266,149.196789272248,153.462096181126,152.269961333827,151.303167914221,154.229819785188,155.025316433488,151.08217408874,148.63730142713,152.426920402143,160.249457531357,171.463600703624,186.70015720106,198.800191366343,201.210343169935,197.382045731615,196.144235794832,199.71286941594,200.095724367561,191.988772384196,182.612393389301,178.731127133186,179.874695343337,186.104431714869,197.969218516548,209.24949089385,214.575193654155,218.951321141612,225.415237573105,229.910836605755,229.304240013621,223.756309313893,212.769653875907,199.90991978081,186.373727278984,172.27267822586,157.861750726758,143.282903031726,"2020-04-18"
"4",164.194967977286,158.783478941567,153.794917137309,149.092423175082,144.296310256996,139.296669618118,134.188767799067,129.026198779483,128.494537629583,129.22591731277,127.514790443379,127.460327287904,130.362435709482,130.91402139434,128.245471752757,128.909981532273,134.470048218416,139.224482834658,142.058487572796,147.548587196351,155.308630320203,159.838078653645,162.745084815284,167.590154380947,170.860358357888,169.972360100271,170.383165569403,174.850898774006,182.411141882896,192.75094279061,206.011255542378,220.3799263042,232.926244005296,244.124589402668,256.195503776952,267.614045056095,274.918215292638,277.486045814815,275.386915059794,268.616595564134,259.572983225416,248.408725826909,228.713987261801,206.921445308794,183.89070487164,159.85118147559,135.126430165732,109.65291339267,"2020-04-19"
"5",155.412393464484,150.584208951955,146.454322347709,142.772867580539,139.10029964366,135.306008776522,131.656897332067,128.994716761075,133.034801455155,140.081476015945,143.50923378073,143.738376045935,147.126745366223,154.330335681779,163.252715581279,176.930315732633,193.84128813104,207.848470795793,218.341510729953,230.83176247996,248.795745199239,268.175631417709,279.097297207395,279.753141120406,276.809233454953,275.288416974543,272.592423927328,268.822952107353,264.02794839002,256.088567636061,247.645978053555,244.644289719737,247.970230009624,251.997326096153,251.13428777124,248.363854349938,249.567179589982,252.987646481001,251.61547342802,244.779676475668,237.514538905901,228.869440661253,214.455888594723,197.505553949072,179.890965208707,162.206964104736,144.600986228362,126.662273857428,"2020-04-20"
"6",199.662227148622,190.249000939527,181.761244257797,173.855126651526,165.980237580513,157.933590082082,150.094980914212,144.047784748658,144.366445185686,149.833545741096,156.278502255695,160.875372808618,164.960547030659,170.814475012323,175.206109600663,177.579265180011,182.946496501134,195.516125388689,213.572620893035,234.423544401529,256.71840545729,278.662646910229,294.452645292384,298.987406180783,296.639001959503,294.501486602548,289.32252977194,275.261289563481,257.942424331785,247.056187467681,244.171206126932,245.947567834488,252.049098880736,260.722625069922,265.579334848953,265.024758064084,264.253125056408,263.631232010116,260.162637884434,254.76085515529,249.531823326086,242.169503914297,229.548680999868,218.10706323721,206.95796964849,195.676600660155,183.866285489991,171.176889997665,"2020-04-21"
"7",178.940258594007,173.840816351334,169.006348144705,164.10726631325,159.315897773654,155.10314335514,151.895649850495,151.169460284411,153.927989550645,155.670847364362,160.032354425582,168.242605338047,176.024110021895,184.367677051756,197.399149970197,212.059809001905,221.322617277845,225.878095463715,233.613128052385,248.231804761183,262.653024228681,272.926118051446,280.535937493898,283.1964006955,278.402653124277,271.455546124604,267.521599657785,261.940865509668,248.461118322384,229.214031341803,213.932074698836,208.233618489902,208.390007532914,210.860448688899,217.788887430771,225.707550066862,228.222778181105,225.858377692343,224.882385653797,225.850258914531,222.445080836958,213.099623958533,205.608009415075,200.479051716,196.392666196788,192.966994463384,189.782687137582,186.811558862631,"2020-04-22"
"8",104.285838709123,107.776557859935,110.752130328133,113.184596619505,115.448047604057,118.07148981004,121.208729103479,124.409516213379,125.981618551517,128.725537343788,133.573892841876,142.738559728526,153.6033599423,161.664221828103,167.91406414291,176.838343223431,189.650001494129,199.722222213929,203.934080187173,207.28916955805,212.950559512492,215.713578945721,213.377407195336,212.645980839338,215.846919456075,217.059308420917,214.342917082548,212.02595076418,212.328341474529,212.049500581601,209.953194762876,211.734154371269,218.40648811541,223.5624400526,225.460034420865,229.457636701729,237.244922172039,243.173111791949,245.428083764267,248.157959623182,251.377160028208,248.953534118003,239.257549730215,228.20951649989,217.082577342789,206.09151732006,195.033239459655,183.508481087812,"2020-04-23"
"9",167.035699229068,161.533138864305,156.639482916479,151.799594253604,146.853135576609,142.293183520147,139.207897916111,140.051870345959,145.719165443537,151.035147161299,154.918101831087,161.050169206384,172.937765312395,185.830086609417,194.8502584265,202.191131288518,212.539161144924,224.512093831238,236.979289060151,253.663674179121,275.101113964321,292.600795936195,297.344610185836,291.644835549401,285.97217778593,283.406708149162,276.935044339589,264.378889852259,249.11762691086,232.50487839459,217.653624443789,210.240605260178,210.764953611394,213.482508036641,214.7111263626,215.586605856794,215.628276627212,212.138143132072,205.328706524111,200.393640695449,198.800897452752,193.998608653612,180.557816603063,166.440154721988,152.539336389595,139.089656900879,125.78245473083,112.236755360756,"2020-04-24"
"10",194.248471449832,183.76802870632,174.034583367913,164.406177278723,154.565525911226,144.859345956193,136.403833347909,132.097700591142,132.49826472376,134.934915276286,137.917983509053,142.810838059907,152.551401777119,163.398254162189,171.826724690454,180.649574761719,194.570277200249,209.94232838561,218.294909214483,220.253530373259,221.840871056157,224.02249503895,222.126326948279,215.032993446979,209.310851086283,206.559461608565,202.554656581863,198.708561961678,200.966829653856,208.17136925299,213.92054618767,217.977438733487,224.172967171591,231.379964026069,235.906459611566,238.291878325851,243.257969281972,249.487719714018,250.331854996819,248.196867531631,249.681414169453,250.581046069002,242.41956123493,231.998083476235,220.537185270619,208.511141835293,196.16306218006,183.209618687817,"2020-04-25"
